pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
118.48,-121.0,0.0,bottom,C1,,C_0603_1608Metric,10uF,smt,True
111.585,-125.59,0.0,bottom,C10,,C_0603_1608Metric,2.2uF,smt,True
123.585,-128.89,180.0,bottom,C11,,C_0603_1608Metric,10uF,smt,True
123.58,-127.32,180.0,bottom,C12,,C_0603_1608Metric,0.1uF,smt,True
148.347772,-85.8,180.0,bottom,C13,,C_0603_1608Metric,10uF,smt,True
148.347772,-84.1,180.0,bottom,C14,,C_0603_1608Metric,0.1uF,smt,True
148.14,-76.69,180.0,bottom,C15,,C_0603_1608Metric,10uF,smt,True
148.13,-78.5,180.0,bottom,C16,,C_0603_1608Metric,10uF,smt,True
137.20625,-104.19,90.0,bottom,C17,,C_0603_1608Metric,2.2uF,smt,True
135.5325,-104.185,90.0,bottom,C18,,C_0603_1608Metric,10uF,smt,True
145.2,-81.47,90.0,bottom,C19,,C_0402_1005Metric,0.1uF,smt,True
115.075,-121.0,180.0,bottom,C2,,C_0603_1608Metric,0.1uF,smt,True
127.78,-104.185,-90.0,bottom,C20,,C_0603_1608Metric,2.2uF,smt,True
129.38,-104.185,-90.0,bottom,C21,,C_0603_1608Metric,10uF,smt,True
149.522,-102.9275,0.0,bottom,C22,,C_0603_1608Metric,10uF,smt,True
149.522,-104.5775,0.0,bottom,C23,,C_0603_1608Metric,0.1uF,smt,True
149.572,-110.1521,0.0,bottom,C24,,C_0603_1608Metric,10uF,smt,True
149.572,-111.9121,0.0,bottom,C25,,C_0603_1608Metric,10uF,smt,True
153.39,-109.56,0.0,bottom,C26,,C_0402_1005Metric,0.1uF,smt,True
133.765,-70.01,0.0,top,C27,,C_0603_1608Metric,0.1uF,smt,True
136.5,-70.785,90.0,top,C28,,C_0603_1608Metric,0.1uF,smt,True
138.1,-70.785,90.0,top,C29,,C_0603_1608Metric,0.1uF,smt,True
123.585,-132.223336,0.0,bottom,C3,,C_0603_1608Metric,10uF,smt,True
139.67,-70.785,90.0,top,C30,,C_0603_1608Metric,0.1uF,smt,True
132.935,-133.57,90.0,bottom,C31,,C_0603_1608Metric,10uF,smt,True
132.935,-136.905,-90.0,bottom,C32,,C_0603_1608Metric,0.1uF,smt,True
131.335,-136.905,-90.0,bottom,C33,,C_0603_1608Metric,0.1uF,smt,True
129.735,-136.905,-90.0,bottom,C34,,C_0603_1608Metric,0.1uF,smt,True
127.67,-91.94,0.0,top,C35,,C_0603_1608Metric,0.1uF,smt,True
123.585,-130.56,0.0,bottom,C4,,C_0603_1608Metric,0.1uF,smt,True
111.56,-128.89,180.0,bottom,C5,,C_0603_1608Metric,10uF,smt,True
111.56,-130.56,180.0,bottom,C6,,C_0603_1608Metric,0.1uF,smt,True
111.57,-127.32,0.0,bottom,C7,,C_0603_1608Metric,2.2uF,smt,True
111.67,-121.0,180.0,bottom,C8,,C_0603_1608Metric,10uF,smt,True
109.29,-124.99,90.0,bottom,C9,,C_0603_1608Metric,0.1uF,smt,True
121.158,-105.25,-90.0,bottom,D1,,D_SMA,SS34,smt,True
124.2725,-99.57,0.0,bottom,D2,,D_SMA,SMAJ5.0A,smt,True
141.9775,-91.69,0.0,bottom,D3,,D_SOD-323,SS34,smt,True
137.79,-91.69,180.0,bottom,D4,,D_SOD-323,SS34,smt,True
157.4,-87.4,90.0,bottom,D5,,LED_0402_1005Metric,LED,smt,True
113.62,-111.9375,-90.0,bottom,J1,,CUI_SJ2-3574A-SMT-TR,SJ2-3574A-SMT-TR,smt,True
156.74,-96.17,-90.0,top,J2,,jst 1.25 3 pole,Conn_01x03,tht,True
124.4465,-114.45,180.0,bottom,J3,,JST-5P_1.25mm,Conn_01x05,tht,True
145.27,-70.1,-90.0,top,J4,,PinHeader_1x02_P1.27mm_Vertical,Conn_01x02,tht,True
142.97,-102.98,180.0,top,J5,,JST_GH_SM13B-GHS-TB_1x13-1MP_P1.25mm_Horizontal,Conn_01x13,smt,True
149.9,-74.2,180.0,top,J6,,PinHeader_1x03_P2.00mm_Vertical,Conn_01x03_Pin,tht,True
127.2,-133.325,180.0,bottom,J7,,PinHeader_1x02_P1.27mm_Vertical,Conn_01x02,tht,True
155.8,-134.3,90.0,top,J8,,JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,Conn_01x05,tht,True
128.74,-98.96,-90.0,top,J9,,105162-0001_MOL,1051620001,smt,True
154.11,-79.36,0.0,bottom,L1,,IND_IHLP-2525CZ-01_VIS-M,SRN8040-100M_INDUC,smt,True
143.132,-109.14,180.0,bottom,L2,,IND_IHLP-2525CZ-01_VIS-M,2.2uH,smt,True
134.51,-94.9,-90.0,bottom,Q1,,SOT-23,SI2304,smt,True
155.85,-116.5,-90.0,bottom,Q2,,SOT-23,SI2304,smt,True
155.85,-122.7175,90.0,bottom,Q3,,SOT-23,SI2304,smt,True
143.6875,-99.55,0.0,bottom,Q4,,SOT-23,Si2301,smt,True
139.98,-94.9,-90.0,bottom,Q5,,SOT-23,SI2304,smt,True
111.4,-124.22,180.0,bottom,R1,,R_0402_1005Metric,470E,smt,True
133.94,-100.838,180.0,bottom,R10,,R_0402_1005Metric,270E,smt,True
146.322772,-83.99,90.0,bottom,R11,,R_0402_1005Metric,100E,smt,True
145.321386,-83.97,90.0,bottom,R12,,R_0402_1005Metric,10K,smt,True
144.32,-83.97,-90.0,bottom,R13,,R_0402_1005Metric,10K,smt,True
153.41,-108.46,180.0,bottom,R14,,R_0402_1005Metric,100E,smt,True
127.0,-117.4,90.0,bottom,R15,,R_0402_1005Metric,10K,smt,True
128.1,-117.4,-90.0,bottom,R16,,R_0402_1005Metric,10K,smt,True
133.5,-71.56,0.0,top,R17,,R_0402_1005Metric,10K,smt,True
130.9,-133.835,90.0,bottom,R18,,R_0402_1005Metric,10K,smt,True
154.875,-119.48,90.0,bottom,R19,,R_0402_1005Metric,10K,smt,True
111.42,-123.11,180.0,bottom,R2,,R_0402_1005Metric,470E,smt,True
119.72,-94.84,0.0,top,R20,,R_0402_1005Metric,10K,smt,True
119.72,-95.939997,0.0,top,R21,,R_0402_1005Metric,10K,smt,True
119.72,-98.139998,0.0,top,R22,,R_0402_1005Metric,10K,smt,True
119.72,-100.339999,0.0,top,R23,,R_0402_1005Metric,10K,smt,True
119.72,-101.439999,0.0,top,R24,,R_0402_1005Metric,10K,smt,True
119.72,-102.54,0.0,top,R25,,R_0402_1005Metric,10K,smt,True
156.825,-119.48,-90.0,bottom,R26,,R_0402_1005Metric,10K,smt,True
137.2,-106.6,-90.0,bottom,R27,,R_0402_1005Metric,200K,smt,True
145.321386,-87.47,-90.0,bottom,R28,,R_0402_1005Metric,10K,smt,True
139.98,-90.04,0.0,bottom,R29,,R_0402_1005Metric,10K,smt,True
123.335,-123.09,180.0,bottom,R3,,R_0402_1005Metric,0E,smt,True
137.25,-90.04,0.0,bottom,R30,,R_0402_1005Metric,220E,smt,True
144.32,-87.47,-90.0,bottom,R31,,R_0402_1005Metric,10K,smt,True
142.0425,-90.04,0.0,bottom,R32,,R_0402_1005Metric,220K,smt,True
137.25,-93.67,180.0,bottom,R33,,R_0402_1005Metric,100K,smt,True
155.8,-86.9,180.0,bottom,R34,,R_0402_1005Metric,470E,smt,True
130.8,-89.9,-90.0,top,R35,,R_0402_1005Metric,10K,smt,True
117.4225,-130.56,180.0,bottom,R4,,R_0402_1005Metric,10K,smt,True
133.0,-90.04,180.0,bottom,R5,,R_0402_1005Metric,10K,smt,True
134.07,-91.61,0.0,bottom,R6,,R_0402_1005Metric,1K,smt,True
133.94,-102.06,180.0,bottom,R7,,R_0402_1005Metric,10K,smt,True
130.645,-107.28,0.0,bottom,R8,,R_0402_1005Metric,560E,smt,True
133.94,-107.28,180.0,bottom,R9,,R_0402_1005Metric,10K,smt,True
154.955,-87.4,90.0,top,SW1,,4312560587X6,SW_SPST,tht,True
117.4225,-125.365,0.0,bottom,U1,,TSSOP-20_4.4x6.5mm_P0.65mm,PCM5102A,smt,True
132.2925,-104.96,180.0,bottom,U2,,SOT-23-6,BQ21040DBVR,smt,True
147.722772,-81.29,180.0,bottom,U3,,TPS63000DRCR,TPS63001DRCR,smt,True
150.197,-107.4275,0.0,bottom,U4,,TPS63000DRCR,TPS63001DRCR,smt,True
133.05,-75.64,180.0,bottom,U5,,ESP32-S3-WROOM1-N4R2,ESP32-S3-WROOM,smt,True
144.2425,-129.12,0.0,bottom,U6,,XCVR_ESP32-WROVER,ESP32-WROVER-IE-N16R8 ,smt,True
